date,nav,position
2025-02-21,108671.44928000015,"黄金ETF(50%), 恒生科技ETF(50%)"
2025-02-28,106593.00285500016,恒生科技ETF(100%)
2025-03-07,106384.13541500017,"恒生科技ETF(50%), 沪深300ETF(50%)"
2025-03-14,106321.58243000016,"黄金ETF(50%), 恒生科技ETF(50%)"
2025-03-21,104925.81720000017,黄金ETF(100%)
2025-03-28,106221.41720000017,黄金ETF(100%)
2025-04-04,107453.81720000017,"黄金ETF(50%), 红利ETF(50%)"
2025-04-11,108867.91720000017,黄金ETF(100%)
2025-04-18,111316.91720000017,黄金ETF(100%)
2025-04-25,110898.21720000016,黄金ETF(100%)
2025-05-02,110432.11720000017,黄金ETF(100%)
2025-05-09,110906.11720000015,"黄金ETF(50%), 红利ETF(50%)"
2025-05-16,108225.29156000017,红利ETF(100%)
2025-05-23,108844.09156000018,"红利ETF(50%), 标普500ETF(50%)"
2025-05-30,108807.69156000018,"红利ETF(50%), 标普500ETF(50%)"
2025-06-06,108880.49156000017,"红利ETF(50%), 黄金ETF(50%)"
2025-06-13,108916.89156000018,"黄金ETF(33%), 标普500ETF(33%), 红利ETF(33%)"
2025-06-20,109462.89156000018,"标普500ETF(50%), 红利ETF(50%)"
2025-06-27,109972.49156000018,"标普500ETF(50%), 红利ETF(50%)"
2025-07-04,112447.69156000018,"标普500ETF(33%), 红利ETF(33%), 沪深300ETF(33%)"
2025-07-11,113466.89156000018,"标普500ETF(33%), 沪深300ETF(33%), 红利ETF(33%)"
2025-07-18,111647.44833000019,"标普500ETF(33%), 沪深300ETF(33%), 恒生科技ETF(33%)"
2025-07-25,113854.4225650002,"沪深300ETF(33%), 标普500ETF(33%), 红利ETF(33%)"
2025-08-01,112461.2341000002,"标普500ETF(50%), 恒生科技ETF(50%)"
2025-08-08,112828.6764400002,"沪深300ETF(50%), 黄金ETF(50%)"
2025-08-15,113605.7821600002,"沪深300ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2025-08-22,114660.08775500019,"沪深300ETF(33%), 恒生科技ETF(33%), 红利ETF(33%)"
2025-08-29,116932.88775500019,"沪深300ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2025-09-05,116033.13143500019,沪深300ETF(100%)
2025-09-12,117563.9810950002,黄金ETF(100%)
2025-09-19,116740.78109500019,"标普500ETF(33%), 黄金ETF(33%), 沪深300ETF(33%)"
2025-09-26,120592.1810950002,"黄金ETF(33%), 标普500ETF(33%), 恒生科技ETF(33%)"
2025-10-03,123223.4810950002,"标普500ETF(33%), 黄金ETF(33%), 沪深300ETF(33%)"
2025-10-10,127089.5810950002,"标普500ETF(33%), 黄金ETF(33%), 恒生科技ETF(33%)"
2025-10-17,141289.78109500022,黄金ETF(100%)
2025-10-24,131396.5413350002,"标普500ETF(50%), 沪深300ETF(50%)"
2025-10-31,134000.34133500018,"标普500ETF(50%), 沪深300ETF(50%)"
2025-11-07,132494.47565000018,"红利ETF(50%), 沪深300ETF(50%)"
2025-11-14,131891.93607500018,"标普500ETF(50%), 红利ETF(50%)"
2025-11-21,129874.38573500018,现金
2025-11-28,129235.45591000016,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-05,129402.85591000016,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-12,130092.45591000016,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-19,130641.85591000017,"黄金ETF(50%), 标普500ETF(50%)"
2025-12-26,133263.85591000016,"黄金ETF(50%), 标普500ETF(50%)"
2026-01-02,130917.26383000014,现金
2026-01-09,130681.16694500015,"标普500ETF(50%), 沪深300ETF(50%)"
2026-01-16,129159.54112000014,"黄金ETF(50%), 沪深300ETF(50%)"
2026-01-23,133733.66207000014,黄金ETF(100%)
2026-01-30,136281.66207000014,黄金ETF(100%)
2026-02-06,134275.51178000015,红利ETF(100%)
2026-02-13,134739.71178000016,红利ETF(100%)
2026-02-20,134739.71178000016,红利ETF(100%)
2026-02-27,138748.71178000016,"红利ETF(50%), 黄金ETF(50%)"
2026-03-06,140985.31178000016,"红利ETF(50%), 黄金ETF(50%)"
2026-03-13,144319.11178000015,红利ETF(100%)
2026-03-20,141449.51178000015,红利ETF(100%)
2026-03-27,139909.67598000017,现金
2026-04-03,139909.67598000017,现金
2026-04-10,139909.67598000017,现金
2026-04-17,139909.67598000017,现金
2026-04-24,140230.3188200002,红利ETF(100%)
2026-05-01,142835.0188200002,"红利ETF(50%), 标普500ETF(50%)"
2026-05-08,138548.50817000022,"标普500ETF(50%), 沪深300ETF(50%)"
2026-05-15,138352.00817000022,"标普500ETF(50%), 沪深300ETF(50%)"
2026-05-22,138481.19120000023,标普500ETF(100%)
2026-05-29,140489.99120000022,"标普500ETF(50%), 沪深300ETF(50%)"
2026-06-05,140796.89120000025,标普500ETF(100%)
2026-06-12,140339.81108000025,现金
2026-06-19,139882.78498000026,标普500ETF(100%)
2026-06-26,135774.93740500027,现金
2026-07-03,135774.93740500027,现金
2026-07-10,135774.93740500027,现金
